LAST SEEN   TYPE      REASON                    OBJECT                                            MESSAGE
6h19m       Normal    Created                   pod/employee-deployment-94fd8c7cb-l59q8           Created container kubernetes-secret
6h19m       Normal    Pulled                    pod/employee-deployment-94fd8c7cb-l59q8           Successfully pulled image "eshghos/kubernetes-secret:latest" in 1.012492766s
6h19m       Normal    Pulling                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Pulling image "eshghos/kubernetes-salary-service:latest"
6h19m       Normal    Pulled                    pod/employee-salary-deployment-79f69bf76f-zjzfb   Successfully pulled image "eshghos/kubernetes-salary-service:latest" in 1.256916302s
6h19m       Normal    Created                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Created container kubernetes-secret
6h19m       Normal    Started                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Started container kubernetes-secret
6h19m       Normal    Started                   pod/employee-deployment-94fd8c7cb-l59q8           Started container kubernetes-secret
6h19m       Normal    Starting                  node/workervm-centos                              Starting kube-proxy.
6h19m       Normal    Pulling                   pod/employee-deployment-94fd8c7cb-ggh8l           Pulling image "eshghos/kubernetes-secret:latest"
6h19m       Normal    Pulled                    pod/employee-deployment-94fd8c7cb-ggh8l           Successfully pulled image "eshghos/kubernetes-secret:latest" in 620.851259ms
6h19m       Normal    Started                   pod/employee-deployment-94fd8c7cb-ggh8l           Started container kubernetes-secret
6h19m       Normal    Created                   pod/employee-deployment-94fd8c7cb-ggh8l           Created container kubernetes-secret
6h19m       Normal    Pulling                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Pulling image "eshghos/kubernetes-salary-service:latest"
6h19m       Normal    Pulled                    pod/employee-salary-deployment-79f69bf76f-sn4ps   Successfully pulled image "eshghos/kubernetes-salary-service:latest" in 633.993152ms
6h19m       Normal    Created                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Created container kubernetes-secret
6h19m       Normal    Started                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Started container kubernetes-secret
6h18m       Normal    Created                   pod/mysql-deploy-84bc6656f8-cmc68                 Created container mysql
6h18m       Normal    Pulled                    pod/mysql-deploy-84bc6656f8-cmc68                 Container image "mysql:5.7" already present on machine
6h18m       Normal    Started                   pod/mysql-deploy-84bc6656f8-cmc68                 Started container mysql
42m         Normal    Starting                  node/workervm-centos-2                            Starting kubelet.
42m         Normal    Starting                  node/workervm-centos                              Starting kubelet.
41m         Normal    NodeHasSufficientMemory   node/workervm-centos                              Node workervm-centos status is now: NodeHasSufficientMemory
42m         Normal    NodeAllocatableEnforced   node/workervm-centos                              Updated Node Allocatable limit across pods
41m         Normal    NodeHasNoDiskPressure     node/workervm-centos                              Node workervm-centos status is now: NodeHasNoDiskPressure
42m         Normal    NodeHasSufficientPID      node/workervm-centos                              Node workervm-centos status is now: NodeHasSufficientPID
41m         Normal    NodeHasSufficientMemory   node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasSufficientMemory
42m         Normal    NodeHasSufficientPID      node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasSufficientPID
42m         Normal    NodeAllocatableEnforced   node/workervm-centos-2                            Updated Node Allocatable limit across pods
41m         Normal    NodeHasNoDiskPressure     node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasNoDiskPressure
40m         Normal    SandboxChanged            pod/employee-salary-deployment-79f69bf76f-sn4ps   Pod sandbox changed, it will be killed and re-created.
40m         Normal    SandboxChanged            pod/employee-deployment-94fd8c7cb-ggh8l           Pod sandbox changed, it will be killed and re-created.
40m         Warning   FailedMount               pod/mysql-deploy-84bc6656f8-cmc68                 MountVolume.NodeAffinity check failed for volume "mysql-pv-gce-volume" : error retrieving node: node "workervm-centos" not found
